Restaurant_ID,Restaurant_Name,Restaurant_Number,Restaurant_Address,City,State,ZipCode
1,Sugarfish,(213) 627-3000,600 W 7th St,Los Angeles,CA,90017
2,Madeo Restaurant,(310) 859-4903,8897 Beverly Blvd,Los Angeles,CA,90048
3,The Factory Kitchen,(213) 996-6000,1300 Factory Pl Ste 101,Los Angeles,CA,90013
4,Redbird,(213) 788-1191,114 E 2nd St,Los Angeles,CA,90012
5,Truxton's American Bistro,(310) 417-8789,8611 Truxton Ave,Los Angeles,CA,90045
6,Daikokuya,(310) 575-4999,2208 Sawtelle Blvd,Los Angeles,CA,90064
7,Crossroads Kitchen,(323) 782-9245,8284 Melrose Ave,Los Angeles,CA,90046
8,Monsieur Marcel,(323) 939-7792,6333 W 3rd St,Los Angeles,CA,90036
9,Culina Ristorante and Caffè,(310) 860-4000,300 S Doheny Dr,Los Angeles,CA,90048
10,Si Laa,(310) 858-7738,1128 S Robertson Blvd,Los Angeles,CA,90035
11,The Tower Bar,(323) 848-6677,8358 W Sunset Blvd,Los Angeles,CA,90069
12,Westin,(213) 624-1000,404 S Figueroa St,Los Angeles,CA,90071
13,The Ivy,(310) 274-8303,113 N Robertson Blvd,Los Angeles,CA,90048
14,California Pizza Kitchen,(323) 460-2080,6801 Hollywood Blvd,Los Angeles,CA,90028
15,Mel's Drive In,(323) 465-2111,1650 N Highland Ave,Los Angeles,CA,90028
16,Hard Rock Cafe,(323) 464-7625,6801 Hollywood Blvd,Los Angeles,CA,90028
17,The Palm - L.A. Downtown,(213) 763-4600,1100 S Flower St,Los Angeles,CA,90015
18,A.O.C.,(310) 859-9859,8700 W 3rd St,Los Angeles,CA,90048
19,Genwa Korean BBQ,(323) 549-0760,5115 Wilshire Blvd,Los Angeles,CA,90036
20,Los Angeles Airport Marriott,(310) 641-5700,5855 W Century Blvd,Los Angeles,CA,90045
21,JW Steakhouse,(310) 641-5700,5855 W Century Blvd,Los Angeles,CA,90045
22,Carney's Restaurant,(323) 654-8300,8351 W Sunset Blvd,Los Angeles,CA,90069
23,Pann's Restaurant,(310) 670-1441,6710 La Tijera Blvd,Los Angeles,CA,90045
24,Faith & Flower,(213) 239-0642,705 W 9th St,Los Angeles,CA,90015
25,Sushi Gen,(213) 617-0552,422 E 2nd St,Los Angeles,CA,90012
26,Palermo Ristorante Italiano,(323) 663-1178,1858 N Vermont Ave,Los Angeles,CA,90027
27,Rocco's Italian Kitchen,(323) 655-0058,6335 Wilshire Blvd,Los Angeles,CA,90048
28,Daikokuya,(213) 626-1680,327 E 1st St,Los Angeles,CA,90012
29,Clifton's Cafeteria,(213) 627-1673,648 S Broadway,Los Angeles,CA,90014
30,Figueroa Philly Cheesesteak,(213) 748-9073,3844 S Figueroa St,Los Angeles,CA,90037
31,New Battambang Restaurant,(213) 620-9015,648 New High St,Los Angeles,CA,90012
32,Zermeno's Restaurant,(323) 467-1202,6115 Santa Monica Blvd,Los Angeles,CA,90038
33,The Grill On The Alley,(323) 466-5577,6801 Hollywood Blvd Ste 90028,Los Angeles,CA,90028
34,Chick 'N Chow,(310) 274-5595,9301 W Pico Blvd,Los Angeles,CA,90035
35,Johnny Rockets,(310) 788-9020,10250 Santa Monica Blvd,Los Angeles,CA,90067
36,Soleil Westwood,(310) 441-5384,1386 Westwood Blvd,Los Angeles,CA,90024
37,Westwood Pizzeria,(310) 443-0123,10974 Le Conte Ave,Los Angeles,CA,90024
