Sl_No,Restaurant_Name,Restaurant_Number,Restaurant_Address,City,State,ZipCode,TripAdvisor_Rating,TripAdvisor_Rating_Count,Foursquare_Rating
1,Harand USA,(310) 473-8990,11769 Santa Monica Blvd,Los Angeles,CA,90025,NA,NA,NA
2,Pastina Restaurant,(310) 441-4655,2260 Westwood Blvd,Los Angeles,CA,90064,4.5,54,6.8
3,Vinoteque,(310) 860-6060,7469 Melrose Ave,Los Angeles,CA,90046,NA,NA,NA
4,Don Chuy's Restaurant,(310) 398-9606,11707 Washington Pl,Los Angeles,CA,90066,NA,NA,NA
5,Veggie Grill,(323) 822-7575,8000 W Sunset Blvd,Los Angeles,CA,90046,4.5,214,8.25
6,"The Stand ""American Classics Redefined""",(310) 785-0400,2000 Avenue Of The Stars,Los Angeles,CA,90067,4.5,12,6.32
7,Corner Bakery Cafe,(310) 824-1314,1019 Westwood Blvd,Los Angeles,CA,90024,4.0,56,7.07
8,Atlacatl Restaurant,(323) 663-1404,301 N Berendo St,Los Angeles,CA,90004,4.0,19,7.91
9,Santino's Restaurant,(323) 464-8260,1253 Vine St Ste 9,Los Angeles,CA,90038,NA,NA,NA
10,Renaissance Restaurant,(323) 960-3100,5930 Franklin Ave,Los Angeles,CA,90028,NA,NA,NA
11,The Good Pizza,(310) 215-1883,7929 Emerson Ave,Los Angeles,CA,90045,4.0,6,NA
12,Headlines Diner & Press Club,(310) 208-2424,10922 Kinross Ave,Los Angeles,CA,90024,4.5,20,NA
13,Bel Air Bar & Grill,(310) 440-5544,612 N Sepulveda Blvd,Los Angeles,CA,90049,NA,NA,NA
14,El Salsabor Restaurant,(323) 266-1400,522 S Lorena St,Los Angeles,CA,90063,4.0,2,NA
15,The Confection Co-op,(323) 467-1080,1200 N Highland Ave,Los Angeles,CA,90038,NA,NA,NA
16,El Asador Restaurant,(213) 387-8220,1225 Venice Blvd,Los Angeles,CA,90006,NA,NA,NA
17,Upstairs 2,(310) 231-0316,2311 Cotner Ave,Los Angeles,CA,90064,NA,NA,7.43
18,Sansui Restaurant,(323) 660-3868,2040 Hillhurst Ave,Los Angeles,CA,90027,NA,NA,NA
19,The Hart and the Hunter,(323) 424-3055,7950 Melrose Ave,Los Angeles,CA,90046,4.0,68,NA
20,Fuddruckers,(310) 277-7756,10250 Santa Monica Blvd,Los Angeles,CA,90067,NA,NA,NA
21,WP24,(213) 743-8824,900 W Olympic Blvd,Los Angeles,CA,90015,4.0,303,NA
22,Orchid Bar|Kitchen,(213) 784-3048,819 S Flower St,Los Angeles,CA,90017,NA,NA,7.8
23,California Pizza Kitchen,(310) 209-9197,1001 Broxton Ave,Los Angeles,CA,90024,4.0,54,7.47
24,Industriel,(213) 488-8020,609 S Grand Ave,Los Angeles,CA,90017,NA,NA,NA
25,Ciro's Restaurant,(323) 269-5104,705 N Evergreen Ave,Los Angeles,CA,90033,NA,NA,NA
26,Breadsticks Restaurant,(310) 271-0498,8570 W 3rd St,Los Angeles,CA,90048,NA,NA,NA
27,Javan Restaurant,(310) 207-5555,11500 Santa Monica Blvd,Los Angeles,CA,90025,NA,NA,6.61
28,Fabrocini's-Beverly Glen,(310) 475-7404,2960 N Beverly Glen Cir,Los Angeles,CA,90077,4.5,48,7.01
29,Taix French Restaurant,(213) 484-1265,1911 W Sunset Blvd,Los Angeles,CA,90026,4.5,137,7.89
30,Picca,(310) 277-0133,9575 W Pico Blvd,Los Angeles,CA,90035,NA,NA,NA
31,New Battambang Restaurant,(213) 620-9015,648 New High St,Los Angeles,CA,90012,NA,NA,NA
32,Zermeno's Restaurant,(323) 467-1202,6115 Santa Monica Blvd,Los Angeles,CA,90038,4.5,4,6.64
33,The Grill On The Alley,(323) 466-5577,6801 Hollywood Blvd Ste 90028,Los Angeles,CA,90028,NA,NA,7.12
34,Chick 'N Chow,(310) 274-5595,9301 W Pico Blvd,Los Angeles,CA,90035,NA,NA,NA
35,Johnny Rockets,(310) 788-9020,10250 Santa Monica Blvd,Los Angeles,CA,90067,NA,NA,NA
36,Soleil Westwood,(310) 441-5384,1386 Westwood Blvd,Los Angeles,CA,90024,NA,NA,NA
37,Westwood Pizzeria,(310) 443-0123,10974 Le Conte Ave,Los Angeles,CA,90024,5.0,1,NA
38,That Pizza Place,(310) 475-3888,11907 W Olympic Blvd,Los Angeles,CA,90064,4.5,7,NA
39,Fundamental La,(310) 444-7581,1303 Westwood Blvd,Los Angeles,CA,90024,4.5,54,NA
40,La Morenita Restaurant,(323) 221-1687,2620 N Broadway,Los Angeles,CA,90031,NA,NA,NA
41,Desert Rose,(323) 666-1166,1700 Hillhurst Ave,Los Angeles,CA,90027,4.0,45,7.55
42,Corner Place Restaurant,(213) 487-0968,2819 James M Wood Blvd,Los Angeles,CA,90006,4.0,17,8.53
43,Louise's Trattoria,(323) 962-9510,232 N Larchmont Blvd,Los Angeles,CA,90004,4.5,39,6.56
44,Carolina's Restaurant,(323) 257-1437,6011 N Figueroa St,Los Angeles,CA,90042,NA,NA,NA
45,El Pescador Restaurant,(323) 223-8866,2910 Division St,Los Angeles,CA,90065,NA,NA,NA
46,The Tower Bar,(323) 848-6677,8358 W Sunset Blvd,Los Angeles,CA,90069,4.5,326,NA
47,Nirvana Restaurant,(213) 625-0066,314 E 1st St,Los Angeles,CA,90012,4.0,2,6.27
48,H K Barbeque,(213) 680-1826,323 E 1st St,Los Angeles,CA,90012,4.0,14,6.07
49,Brite Spot,(213) 484-9800,1918 W Sunset Blvd,Los Angeles,CA,90026,3.5,55,7.58
